tagname,body
"c#","C# is a multi-paradigm programming language encompassing strong typing, imperative, declarative, functional, generic, object-oriented (class-based), and component-oriented programming disciplines."
"java","Java (not to be confused with JavaScript) is a class-based, object-oriented, strongly typed, reflective language and run-time environment (JRE). Java programs are compiled to byte-code and run in a virtual machine (JVM) enabling a ""write once, run anywhere"" (WORA) methodology."
"javascript","JavaScript is a dynamically-typed language commonly used for client-side scripting. Use this tag for questions regarding ECMAScript and its dialects/implementations (excluding ActionScript). Unless a tag for a framework/library is also included, a pure JavaScript answer is expected."
"php","PHP is an open-source scripting language widely used in web development. Use this tag for questions about PHP classes, methods, functions, syntax and use."
"android","Android is Google's OS for mobile devices. Please use Android-specific tags such as [android-intent], not [intent], and [json-android] not [json]. For non-developer/programming questions, see http://android.stackexchange.com."
"jquery","jQuery is a popular cross-browser JavaScript library that facilitates DOM traversal, event handling, animation and AJAX interactions by minimizing the discrepancies across browsers and providing an easy-to-use API."
"python","Python is a dynamic and strongly typed programming language that is designed to emphasize usability. Two similar but incompatible versions of Python are in widespread use (2 and 3). Please consider mentioning the version and implementation that you are using when asking a question about Python."
"c++","C++ is a widely-used, statically-typed, free-form, compiled, multi-paradigm, multi-level, imperative, general-purpose, object-oriented programming language based on C."
"html","HTML (HyperText Markup Language) is the principal markup language used for structuring web pages and formatting content. The most recent revision to the HTML specification is HTML5."
"mysql","MySQL is an open-source, relational database management system."
"ios","iOS is Apple's operating system for mobile devices, such as the iPhone, iPod touch, iPad and Apple TV (2nd generation and up). Much is shared with OS X, but iOS is optimized for touch-based interfaces."
"asp.net","ASP.NET is a web application framework developed by Microsoft to allow programmers to build dynamic web sites and web applications. "
"css","CSS (Cascading Style Sheets) is a language used to control the visual presentation of HTML and XML documents including (but not limited to) colors, layout and fonts."
"sql","Structured Query Language (SQL) is a language for querying databases. Questions should include code examples and table structure, and include a tag for the DBMS implementation (e.g. MySQL, PostgreSQL, Oracle, MS SQL Server) being used. If your question relates to a specific DBMS (uses specific extensions/features), use that DBMS's tag instead. Answers to questions tagged with SQL should use ANSI SQL as much as possible."
"iphone","specific to Apple's iPhone and/or iPod touch, but inapplicable to iPad. For questions not dependent on hardware, use the ""iOS"" tag. Another tag to consider is ""cocoa-touch"" (but not ""cocoa""). Please refrain from questions regarding the iTunes App Store or about iTunes Connect."
".net","The .NET framework is a software framework designed mainly for the Microsoft Windows operating system. It includes an implementation of the Base Class Library, Common Language Runtime (commonly referred to as CLI) and Dynamic Language Runtime. It supports many programming languages, including C#, VB.NET, F# and C++.
"
"objective-c","This tag should be used only on questions that are about Objective-C features or depend on code in the language. The tags ""cocoa"" and ""cocoa-touch"" should be used to ask about Apple's frameworks or classes. Use the related tags [ios] and [osx] for issues specific to those platforms."
"ruby-on-rails","Ruby on Rails is an open source full-stack web application framework written in Ruby. It follows the popular MVC framework model and is known for its ""convention over configuration"" approach to application development."
"c","C is a general-purpose computer programming language used for operating systems, games and other high performance work and is clearly distinct from C++. It was developed in 1972 by Dennis Ritchie for use with the Unix operating system."
"ruby","Ruby is a multi-platform open-source dynamic object-oriented interpreted language created by Yukihiro Matsumoto (Matz) in 1993."
"sql-server","SQL Server is a relational database management system from Microsoft. Use this tag for all SQL Server editions including Compact, Express, Azure, Fast-track and PDW."
"ajax","AJAX (Asynchronous JavaScript and XML) is a technique for creating seamless interactive websites via asynchronous data exchange between client and server. AJAX facilitates communication with the server or partial page updates without a traditional page refresh."
"xml","Extensible Markup Language (XML) is a structured document format that defines human- and machine-readable encoding rules.


"
"regex","Regular expressions (often shortened to ""regex"") are a declarative language used for pattern matching within strings. Please also include a tag specifying the programming language or tool you are using."
"arrays","An array is an ordered data structure consisting of a collection of elements (values or variables), each identified by one (single dimensional array, or vector) or multiple indexes. "
"wpf","Windows Presentation Foundation, or WPF, is a subsystem for rendering user interfaces in Windows-based applications."
"asp.net-mvc","The ASP.NET MVC Framework is a Microsoft web application framework that implements the model-view-controller (MVC) pattern. The latest release of the framework 
offers REST-style web services development capability, also known as Web API."
"database","A database is an organized collection of data typically used to model certain situations. Use this tag if you have questions about designing a database. If it is about a particular database management system, (e.g., MySQL), please use that tag instead."
"linux","For questions that are specific to the GNU/Linux operating system. If your question has nothing to do with Linux APIs or Linux-specific behavior you should not use this tag, even if you are running on Linux."
"json","JSON (JavaScript Object Notation) aka the Fat Free Alternative to XML is a lightweight data exchange format inspired by JavaScript object literals. It is often used with JavaScript, Ajax, and RESTful web services but is completely language independent."
"django","Django is an open source Web 2.0 application framework, written in Python. Its primary goal is to ease the creation of complex database-driven websites."
"vb.net","Visual Basic .NET (VB.NET) is an object-oriented computer programming language that can be viewed as an evolution of Microsoft's Visual Basic 6 (VB6) but implemented on the Microsoft .NET Framework."
"windows","Windows is a family of client, server, and mobile operating systems, developed by Microsoft. If your question has nothing to do with Windows APIs or Windows-specific behaviour then do not use this tag, even if you are running on Windows."
"xcode","Xcode is Apple's integrated development environment (IDE). This tag should only be used for questions about Xcode itself, and not for general Mac or iOS programming topics. Use [cocoa] for Mac programming questions, and [cocoa-touch] or [ios] for iOS programming questions."
"eclipse","Eclipse is an open source IDE with plugins available to support a large variety of languages. This tag should only be used for questions about the Eclipse IDE and not for generalized programming topics."
"string","A string is a sequence of zero or more characters. It is commonly used to represent text or a sequence of bytes."
"facebook","Facebook Platform lets developers integrate their apps directly into the Facebook social networking service. Use this tag for questions which may arise when developing FOR Facebook. This tag is NOT for support questions about using the Facebook website or the official Facebook app."
"html5","HTML5 (Hyper Text Markup Language, version 5) is an umbrella term for recent web technologies. It is also the latest iteration of HTML Recommendation planned for 2014, introducing new elements and APIs."
"ruby-on-rails-3","Ruby on Rails is an open-source web development framework written in Ruby. Ruby on Rails follows the principle of convention over configuration, freeing you from having to re-invent things to stay productive. Ruby on Rails 4.0 is now available."
"multithreading","Multithreading is how work performed by a computer can be divided into multiple concurrent streams of execution (generally referred to as threads)."
"r","R is a free, open-source programming language and software environment for statistical computing, bioinformatics and graphics.
It is advised to supplement your question with a minimal reproducible example. For statistical questions please use stats.stackexchange.com."
"winforms","WinForms is the informal term given to Windows Forms, one of the graphical application programming interface (API) included as a part of Microsoft .NET Framework. WinForms provides access to the native Microsoft Windows interface elements by wrapping the existing Windows API in managed code."
"wordpress","WordPress is an open source content management system running on PHP and MySQL, and often used as a blog engine. WordPress questions about programming and administration are best asked on http://wordpress.stackexchange.com/"
"image","The image tag is for questions related to the loading, formatting, saving, compression, and display of images in the context of source code. This tag should also be used for assistance using various image libraries."
"forms","HTML forms are used to pass data to a server. A form is essentially a container that can be used to hold any amount of any subset of several types of data."
"performance","For questions pertaining to the measurement or improvement of code efficiency."
"osx","OS X is the desktop operating system from Apple Inc. It was the successor to Mac OS 9 and here the 'X' means 10.  OS X is based upon the NeXTSTEP/OPENSTEP OSes developed in the 1980s and 1990s by NeXT Inc., which Apple purchased in 1996."
"visual-studio-2010","Visual Studio 2010 is an integrated development environment (IDE) from Microsoft. Use this tag only for questions arising from the use of this particular version of Visual Studio, and not about any code just written in it."
"spring","The Spring Framework is an open source framework for application development on the Java platform. At its core is rich support for component based architectures, and it currently has over a dozen highly integrated modules."
"excel","Microsoft Excel is a commercial spreadsheet application written and distributed by Microsoft for Microsoft Windows and Mac OS X. If your question is about programming Excel in VBA then also tag it [tag:excel-vba]. If it is about an Excel formula or worksheet function, then also tag it [tag:worksheet-function]."
"node.js","Node.js is an event-based, asynchronous I/O framework that uses Google's V8 JavaScript engine."
"algorithm","An algorithm is a sequence of well-defined steps that defines an abstract solution to a problem. Use this tag when your issue is related to algorithm design."
"oracle","Oracle Server is a relational DBMS (Database Management System) created by Oracle Corporation. Do NOT use this tag for other DBMS servers owned by Oracle (for instance MySQL, TimesTen and Berkeley DB)."
"swing","Swing is the primary user-interface toolkit in Java and is shipped with the standard Java SDK. It is contained within the package `javax.swing`."
"git","Git is an open-source DVCS (Distributed Version Control System).
"
"linq","Language Integrated Query (LINQ) is a Microsoft .NET Framework component that adds native data querying capabilities to .NET languages."
"asp.net-mvc-3","ASP.NET MVC 3 is the third major version of Model-View-Controller extension for developing web applications in a .NET framework. "
"apache","The Apache HTTP Server, commonly referred to as Apache, is an open-source HTTP server for modern operating systems including UNIX, its variants and Windows. Apache is a secure, efficient and extensible server that provides HTTP services in sync with the current HTTP standards."
"web-services","A ""web service"" is a software system designed to support interoperable machine-to-machine interaction over the World Wide Web."
"wcf","Windows Communication Foundation is a part of the .NET Framework that provides a unified programming model for rapidly building service-oriented applications."
"perl","Perl is a high-level, general-purpose, interpreted, dynamic programming language."
"entity-framework","The ADO.NET Entity Framework is a set of Object-Relational-Mapping (ORM) tools for the .NET  Framework, since version 3.5 SP1."
"sql-server-2008","Use this tag for questions specific to the 2008 version of Microsoft's SQL Server."
"visual-studio","Visual Studio is an integrated development environment (IDE) from Microsoft. It supports many different programming languages."
